title,authors,first_author_last_name,doi,journal,year,abstract,keywords,type,topic,focus,material_system,material_subclass,manufacturer,instrument,configuration,laser,analysis_mode,pulse_fraction_or_energy,detection_rate,pulse_rate,base_temperature
Site-Specific Femtosecond Laser Ablation: The Pathway to High-Throughput Atom Probe Tomography Characterization,"Tang, Jing; Renk, Oliver; Tkadletz, Michael",Tang,10.1016/j.matchar.2024.114618,Materials Characterization,2024,The exceptional chemical detection sensitivity and near-atomic scale resolution made atom probe tomography (APT) to an indispensable analytical tool to investigate the 3D chemical nature of crystal defects.,"Atom probe tomography, Site-specific APT tip preparation, Field ion microscopy, Electron backscatter diffraction (EBSD), Transmission Kikuchi diffraction (TKD), High-throughput characterization",Journal Article,Instrumentation and Technique Development,Other,Metals and Alloys,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Laser,40 pJ,0.5%,250 kHz,50 K
Correlated transmission electron microscopy and atom probe tomography characterization of ion irradiated Ni-based alloy Hastelloy N,"Gardner, Hazel M.; Schoell, Ryan; Qiu, Jie; Carter, Megan; Hosemann, Peter; Moody, Michael; Kaoumi, Djamel; Armstrong, David E.J.",Gardner,10.1016/j.matchar.2025.115316,Materials Characterization,2025,Ion irradiation of Hastelloy N was conducted to better characterize the effects of irradiation on Hastelloy N using modern tools compared to studies done in the 1950s.,"Irradiation damage, Atom probe tomography, Nuclear materials",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Laser,40 pJ,0.5%,200 kHz,50 K
Effects of Er on η’ and T’ precipitation strengthening and corrosion resistance in Al-3.7Zn-2.3 Mg-0.1Zr alloy studied by atom probe tomography,"Zhang, Xueqin; Wu, Xiaolan; Zhao, Peihao; Cui, Haiyan; He, Fangyan; Xiong, Xiangyuan; Gao, Kunyuan; Wen, Shengping; Wei, Wu; Rong, Li; Huang, Hui; Nie, Zuoren",Zhang,10.1016/j.matchar.2025.115419,Materials Characterization,2025,"The effects of Er on the microstructure, precipitates, and both mechanical and corrosion properties of Al-3.7Zn-2.3 Mg-0.1Zr alloy aged at 120 ◦C/48 h were studied by transmission electron microscopy (TEM) and atom probe tomography (APT).","Er microalloying, Precipitates, Mechanical-corrosion synergy, Al-Zn-Mg alloy",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Voltage,20%,0.5%,200 kHz,30 K
Atom probe tomography of the Fe2AlB2 MAB phase,"Tegg, Levi; Richardson, Peter J.; Yang, Limei; Cairney, Julie M.",Tegg,10.1016/j.matchar.2026.116003,Materials Characterization,2026,"Here we report the first atom probe tomography study of a bulk MAB phase, Fe2AlB2. X-ray diffraction and spectroscopy on the starting material confirm phase-purity, high crystallinity, texturing and a simple and known stoichiometry. The atom probe experiments show complex field-evaporation behaviour, a rich population of complex ions (and their disassociations), crystallographic features, and measured composition which varies strongly with acquisition conditions.","Atom probe tomography, MAB phase, Boride ceramics, X-ray spectroscopy",Journal Article,Materials Science and Application Studies,Other,Ceramics and Glasses,,CAMECA,LEAP 4000X Si,Straight Flight Path,355 nm,Laser,20%,1%,200 kHz,50 K
Probing the Near-Atomic Scale Structure of Hard Biological Materials with Atom Probe Tomography: A Review,"Holmes, Natalie P.; Chen, Yue-Sheng; Niu, Ranming; Mcguire, Helen; Chen, Eason Yi-Sheng; Cairney, Julie M.",Holmes,10.1016/j.cossms.2025.101241,Current Opinion in Solid State & Materials Science,2025,"Atom probe tomography (APT) is a powerful analytical technique that generates atom-by-atom reconstructions of matter, providing quantitative three-dimensional elemental and isotopic analyses at near atomic-scale resolution across the entire periodic table.","Atom probe tomography, Biomineral, Nanostructure, Bone, Tooth enamel, bone microstructures, near-atomic scale, Cryo-Transfer System, Cryogenic Focused Ion Beam, Atom Probe Microscopy",Literature Review,Materials Science and Application Studies,Other,Biomaterials,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,N/A,N/A,N/A,N/A,N/A
Mechanical alloying and amorphization in Cu–Nb–Ag in situ composite wires studied by transmission electron microscopy and atom probe tomography,"Raabe, D.; Ohsaki, S.; Hono, K.",Raabe,10.1016/j.actamat.2009.07.028,Acta Materialia,2009,We have studied deformation-driven alloying in a Cu–5 at.% Ag–3 at.% Nb in situ composite by transmission electron microscopy and atom probe tomography.,In situ MMC; Cu–Ag–Nb wire; Chemical mixing; Atom probe; TEM,Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Voltage,0.15,0.5%,600 Hz,60 K
Atom probe tomography of nanoscale microstructures within precipitate free zones in Al–Zn–Mg(–Ag) alloys,"Ogura, Tomo; Hirosawa, Shoichi; Cerezo, Alfred; Sato, Tatsuo",Ogura,10.1016/j.actamat.2010.06.046,Acta Materialia,2010,"Solute distributions in the vicinity of grain boundaries in Al–Zn–Mg(–Ag) alloys were studied using a three-dimensional atom probe, in order to elucidate the mechanism of formation of precipitate free zones (PFZs) and the fundamental role of Ag in controlling PFZ width.",Precipitate free zones; Three-dimensional atom probe; Aluminum alloys; Transmission electron microscopy,Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,,,,,Voltage,20%,0.5%,200 kHz,35 K
"Phase separation in thick InGaN layers – A quantitative, nanoscale study by pulsed laser atom probe tomography","Mu¨Ller, M.; Smith, G.D.W.; Gault, B.; Grovenor, C.R.M.",Mu¨Ller,10.1016/j.actamat.2012.04.030,Acta Materialia,2012,Pulsed laser atom probe tomography was employed to study 300 nm thick In0.25Ga0.75N layers grown on a GaN buﬀer layer.,"Compound semiconductors, Indium gallium nitride, Spinodal decomposition, Phase separation, Atom probe",Journal Article,Materials Science and Application Studies,Other,Semiconductors,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.05–0.08 nJ,0.005 ions per pulse,200 kHz,40 K
Elemental partitioning and mechanical properties of Ti- and Ta-containing Co–Al–W-base superalloys studied by atom probe tomography and nanoindentation,"Povstugar, Ivan; Choi, Pyuck-Pa; Neumeier, Steﬀen; Bauer, Alexander; Zenk, Christopher H.; Go¨Ken, Mathias; Raabe, Dierk",Povstugar,10.1016/j.actamat.2014.06.020,Acta Materialia,2014,"Elemental partitioning and hardness in Ti- and Ta-containing Co-base superalloys, strengthened by c0-Co3(Al, W) precipitates, have been studied by local measurements.","Cobalt-base superalloys, Atom probe tomography (APT), Nanoindentation",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,Superalloys,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.4 nJ,2.6,100 kHz,-40 K
Grain boundary segregation in Fe–Mn–C twinning-induced plasticity steels studied by correlative electron backscatter diffraction and atom probe tomography,"Herbig, M.; Kuzmina, M.; Haase, C.; Marceau, R.K.W.; Gutierrez-Urrutia, I.; Haley, D.; Molodov, D.A.; Choia, P.; Raabea, D.",Herbig,10.1016/j.actamat.2014.09.041,Acta Materialia,2015,"Grain boundary segregation in an Fe–Mn–C TWIP steel was investigated by APT in three representative cases: in specimens with a general GB, an annealing twin boundary and a deformation twin boundary.","Twin grain boundary, Austenite, Atom probe tomography, Electron backscatter diffraction, Grain boundary segregation, APT, TWIP steel",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,15–20%,0.005–0.01 atoms per pulse,200 kHz,60 K
Ion-irradiation-induced clustering in W–Re and W–Re–Os alloys: A comparative study using atom probe tomography and nanoindentation measurements,"Xu, Alan; Beck, Christian; Armstrong, David E.J.; Rajan, Krishna; Smith, George D.W.; Bagota, Paul A.J.; Roberts, Steve G.",Xu,10.1016/j.actamat.2014.12.049,Acta Materialia,2015,This study examines clustering and hardening in W–2 at.% Re and W–1 at.% Re–1 at.% Os alloys induced by 2 MeV W+ ion irradiation at 573 and 773 K.,Tungsten rhenium osmium alloys; Nuclear fusion; Atom probe tomography; Ion irradiation; Nanoindentation,Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,,,,,Laser,0.6–0.8 nJ,37% total detection efficiency,N/A,50 K
On spinodal decomposition in Cu–34 at.% Ta thin films – An atom probe tomography and transmission electron microscopy study,"Mu¨Ller, Claudia M.; Sologubenko, Alla S.; Gerstl, Stephan S. A.; Spolenak, Ralph",Mu¨Ller,10.1016/j.actamat.2015.01.073,Acta Materialia,2015,"In metals and alloys, phase separation takes place either by nucleation and growth or by spinodal decomposition. Here, transmission electron microscopy (TEM) and atom probe tomography (APT) are combined in an effort to study phase separation in an immiscible Cu–34 at.% Ta thin film alloy on a nanometer scale.","Sputter deposition, Phase separation, Immiscible materials, Copper, Tantalum",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Laser,30 pJ,0.5%,200 kHz,65 K
Study of precipitation in Al–Mg–Si alloys by Atom Probe Tomography I. Microstructural changes as a function of ageing temperature,"Zandbergen, M.W.; Xu, Q.; Cerezo, A.; Smith, G.D.W.",Zandbergen,10.1016/j.actamat.2015.08.017,Acta Materialia,2015,Atom Probe Tomography (APT) analysis and hardness measurements were used to characterise the early stages of precipitation in an Al–0.51 at.%Mg–0.94 at.%Si alloy.,"Aluminium alloys, Ageing, Atom Probe Tomography, Precipitation, Metastable phases, Al-Mg-Si alloys, precipitation hardening",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,15–20% of the standing DC voltage,0.5%,200 kHz,25–30 K
Combined atom probe tomography and density functional theory investigation of the Al off-stoichiometry of k-carbides in an austenitic FeeMneAleC low density steel,"Dey, P.; Seol, J.-B.; Yao, M.J.; Choi, P.; Herbig, M.; Marceau, R.K.W.; Hickel, T.; Neugebauer, J.; Raabe, D.",Dey,10.1016/j.actamat.2016.01.007,Acta Materialia,2016,"We report on the investigation of the off-stoichiometry and site-occupancy of k-carbide precipitates within an austenitic (g), Fe-29.8Mn-7.7Al-1.3C (wt.%) alloy using a combination of atom probe tomography and density functional theory.","Austenitic low density steel, Coherent precipitates, Off-stoichiometry, Atom probe tomography (APT), Density functional theory (DFT), k-carbides, site-occupancy, APT, DFT",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,15%,0.5%,200 kHz,70 K
"Ion-irradiation induced clustering in W-Re-Ta, W-Re and W-Ta alloys: An atom probe tomography and nanoindentation study","Xu, Alan; Armstrong, David E.J.; Beck, Christian; Moody, Michael P.; Smith, George D.W.; Bagot, Paul A.J.; Roberts, Steve G.",Xu,10.1016/j.actamat.2016.10.050,Acta Materialia,2017,"In tungsten plasma-facing fusion reactor components, Ta is the third most abundant element formed by transmutation (after Re and Os), yet little is known about the behaviour of W-Ta alloys under irradiation and any effects Ta might have on Re clustering in W-Re-Ta alloys.","Tungsten rhenium tantalum alloys, Nuclear fusion, Atom probe tomography, Ion-irradiation, Nanoindentation",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.6-0.8 nJ,0.5%,200 kHz,50 K
Carbon concentration measurements by atom probe tomography in the ferritic phase of high-silicon steels,"Rementeria, Rosalia; Poplawsky, Jonathan D.; Aranda, Maria M.; Guo, Wei; Jimenez, Jose A.; Garcia-Mateo, Carlos; Caballero, Francisca G.",Rementeria,10.1016/j.actamat.2016.12.013,Acta Materialia,2017,"Recent studies using atom probe tomography (APT) show that bainitic ferrite formed at low temperature contains more carbon than what is consistent with the paraequilibrium phase diagram. However, nanocrystalline bainitic ferrite exhibits a non-homogeneous distribution of carbon atoms in arrangements with specific compositions, i.e. Cottrell atmospheres, carbon clusters, and carbides, in most cases with a size of a few nanometers.","Bainitic steel, Nanostructure, Tetragonal distortion, Atom probe tomography (APT), X-ray diffraction (XRD), Atom Probe Tomography, Bainite, Ferrite, Carbon, Ordering",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Voltage,20%,0.5%,200 kHz,50 K
On Spinodal Decomposition in Alnico - A Transmission Electron Microscopy and Atom Probe Tomography Study,"Zhou, Lin; Guo, Wei; Poplawsky, J.D.; Ke, Liqin; Tang, Wei; Anderson, I.E.; Kramer, M.J.",Zhou,10.1016/j.actamat.2018.04.042,Acta Materialia,2018,Alnico is a prime example of a finely tuned nanostructure whose magnetic properties are intimately connected to magnetic annealing (MA) during spinodal transformation and subsequent lower temperature annealing (draw) cycles.,"Magnetic, Microstructure, Spinodal decomposition, Atom-probe tomography, TEM, STEM HAADF",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Voltage,20%,N/A,200 kHz,40 K
Intermixing of Fe and Cu on the atomic scale by high-pressure torsion as revealed by DC- and AC-SQUID susceptometry and atom probe tomography,"Stückler, Martin; Krenn, Heinz; Kürnsteiner, Philipp; Gault, Baptiste; De Geuser, Frédéric; Weissitsch, Lukas; Wurster, Stefan; Pippan, Reinhard; Bachmaier, Andrea",Stückler,10.1016/j.actamat.2020.06.035,Acta Materialia,2020,"The capability of high-pressure torsion on the preparation of supersaturated solid solutions, consisting of Cu-14Fe (wt.%), is studied.","Severe plastic deformation (SPD), High-pressure torsion, Spin glass, Three dimensional atom probe (3DAP), Nanocrystalline materials",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Laser,25 pJ,1.5%,250 kHz,35 K
The role of nitrogen in the oxidation behaviour of a Ti6242S alloy: a nanoscale investigation by atom probe tomography,"Dupressoire, C.; Descoins, M.; Vande Put, A.; Epifano, E.; Mangelinck, D.; Emile, P.; Monceau, D.",Dupressoire,10.1016/j.actamat.2021.117134,Acta Materialia,2021,"When used at high temperature in air, titanium-based alloys form an oxide scale at their surface but also dissolve large amount of oxygen in their metallic matrix and this is a cause of embrittlement. Nitrogen is a secondary oxidant, which also dissolves in and embrittles the alloy.","Titanium-based alloy, Oxidation, Oxygen dissolution, Nitrogen, Atom probe tomography, Ti-based alloy",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.5-1.2 nJ,0.5%,100 kHz,40 K
Revealing in-plane grain boundary composition features through machine learning from atom probe tomography data,"Zhou, Xuyang; Wei, Ye; Kühbach, Markus; Zhao, Huan; Vogel, Florian; Darvishi Kamachali, Reza; Thompson, Gregory B.; Raabe, Dierk; Gault, Baptiste",Zhou,10.1016/j.actamat.2022.117633,Acta Materialia,2022,"Grain boundaries (GBs) are planar lattice defects that govern the properties of many types of polycrystalline materials. Hence, their structures have been investigated in great detail. However, much less is known about their chemical features, owing to the experimental difficulties to probe these features at the atomic length scale inside bulk material specimens. Atom probe tomography (APT) is a tool capable of accomplishing this task, with an ability to quantify chemical characteristics at near-atomic scale.","Grain boundaries, Atom probe tomography, Machine learning, Chemical features, Solute Segregation",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,20%,0.5%,200 kHz,50 K
Atom probe tomography-assisted kinetic assessment of spinodal decomposition in an Al-12.5 at.%Zn alloy,"Chen, Xinren; Zhou, Xuyang; De Geuser, Frédéric; Kwiatkowski Da Silva, Alisson; Zhao, Huan; Woods, Eric; Liu, Chuanlai; Ponge, Dirk; Gault, Baptiste; Raabe, Dierk",Chen,10.1016/j.actamat.2024.119757,Acta Materialia,2024,The rates of atomic clustering and precipitation hardening are closely related to the diffusivity of solutes and the concentration of vacancies during the natural aging of aluminum alloys.,"Al–Zn alloy, Diffusivity, Atom probe tomography, Spinodal decomposition, Radial distribution function, Nano aging",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Voltage,15%,0.5%,200 kHz,50 K
Understanding the effect of phosphorous on the ion-irradiation behaviour of RPV model steels using atom probe tomography and nanoindentation,"Sharma, Deepak; Etienne, Auriane; Henry, Ronan; Kaden, Cornelia; Picot, Mélanie; Radiguet, Bertrand",Sharma,10.1016/j.actamat.2024.119859,Acta Materialia,2024,"Understanding the formation of the embrittling Mn-Ni-Si (MNS)-rich clusters in reactor pressure vessel (RPV) steels is of economic, environmental, and safety importance.","Reactor pressure vessel steels, Irradiation effect, Atom probe tomography, Solute clustering, Hardening, Irradiation Hardening, MNS-Rich Clusters, Phosphorus, RPV Model Steels",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Voltage,20%,0.1-0.3%,200 kHz,55 K
3D Deep Learning for Enhanced Atom Probe Tomography Analysis of Nanoscale Microstructures,"Yu, Jiwei; Wang, Zhangwei; Saksena, Aparna; Wei, Shaolou; Wei, Ye; Colnaghi, Timoteo; Marek, Andreas; Rampp, Markus; Song, Min; Gault, Baptiste; Li, Yue",Yu,10.1016/j.actamat.2024.120280,Acta Materialia,2024,"Quantitative analysis of microstructural features on the nanoscale, including precipitates, local chemical orderings (LCOs) or structural defects (e.g. stacking faults) plays a pivotal role in understanding the mechanical and physical responses of engineering materials.","Atomic-scale characterization, Artificial intelligence, Local chemical ordering, Crystalline defects, Alloy design, AtomNet, APT, deep neural network, nanoscale features, FCC-based metallic materials",Journal Article,Computational and Machine-Learning Approaches,Other,Metals and Alloys,,,,,,Laser,40-45 pJ,0.8-1.0%,125-250 kHz,50-60 K
Effect of intrinsic heat treatment on the precipitate formation of X40CrMoV5–1 tool steel during laser-directed energy deposition: A coupled study of atom probe tomography and in situ synchrotron X-ray diffraction,"Silveira, Antonio Carlos De F.; Belkacemi, Lisa T.; De Castro, Pedro José; Schowalter, Marco; Fechte-Heinen, Rainer; Epp, Jérémy",Silveira,10.1016/j.actamat.2024.120488,Acta Materialia,2025,"The paper discusses the formation of precipitates in a steel sample built using Laser Directed Energy Deposition (L-DED). The authors use Atom Probe Tomography (APT) to analyze the chemical composition and distribution of precipitates in different regions of the sample. The results show that the precipitates are composed of vanadium carbides, iron-chromium carbides, and other phases. The authors also discuss the effect of the thermal history on the formation of precipitates and the resulting microstructure.","Additive manufacturing, Intrinsic heat treatment, Tool steel, Carbide precipitation, High energy synchrotron X-ray diffraction, Atom probe tomography, Laser Directed Energy Deposition, Precipitates, Steel, Microstructure, Laser-directed energy deposition, X40CrMoV5‑ steel, Microstructure evolution, Precipitate formation, In situ synchrotron X-ray diffraction",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,CAMECA,LEAP 5000 XR,Reflectron Fitted,355 nm,Laser,25 pJ,0.4%,200 kHz,40 K
Corrosion of zirconium fuel cladding inside a boiling water reactor: A post-irradiation study by atom probe tomography,"Mayweg, David; Eriksson, Johan; Sattari, Mohammad; Andrén, Hans-Olof; Thuvander, Mattias",Mayweg,10.1016/j.actamat.2025.121020,Acta Materialia,2025,"Zr-based fuel claddings show significant acceleration of corrosion in reactor compared to autoclave (or zero flux) conditions. Since this behaviour is also connected to the damage accumulation inside the metal and not just to the protective oxide, a mechanistic understanding of the oxidation at the oxide-metal interface is needed.","Zr fuel cladding, Corrosion, Atom probe tomography, Radiation damage, zirconium, fuel cladding, reactor, autoclave",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,250-400 pJ,0.2%,200 kHz,50-70 K
Direct measurement of the Gibbs free energy of mixing via atom probe tomography,"Zheng, Jianshu; Duran, Rüya; Diwan, Parisha; Schmitz, Guido; Eich, Sebastian M.",Zheng,10.1016/j.actamat.2026.121950,Acta Materialia,2026,"The concept of thermodynamic free energy plays a central role across various disciplines, providing critical insights into system dynamics, energy flow, and sustainability. In materials science, Gibbs free energies are typically determined through phase diagram modeling, which relies on a broad range of thermodynamic data.","Gibbs free energy, Atom probe tomography (APT), Thermodynamic fluctuations, Statistical mechanics, CALPHAD modeling, Phase diagrams, Atom Probe Tomography, Thermodynamics, Composition Fluctuations",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,20%,0.5%,100 kHz,110 K
Evolution of the c/c0 interface width in a commercial nickel base superalloy studied by three-dimensional atom probe tomography,"Hwang, J.Y.; Nag, S.; Singh, A.R.P.; Srinivasan, R.; Tiley, J.; Fraser, H.L.; Banerjee, R.",Hwang,10.1016/j.scriptamat.2009.03.011,Scripta Materialia,2009,The compositional width of the c/c0 interface in a commercial nickel base superalloy has been determined using three-dimensional atom probe tomography.,Three-dimensional atom probe (3DAP); Nickel superalloy; Interfaces,Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,,,,,Voltage,0.5% to 1.0%,0.5%,200 kHz,60 K
Direct evidence for the formation of ordered carbides in a ferrite-based low-density Fe–Mn–Al–C alloy studied by transmission electron microscopy and atom probe tomography,"Seol, Jae-Bok; Raabe, Dierk; Choi, P.; Park, Hyung-Seok; Kwak, J.-H.; Park, Chan-Gyung",Seol,10.1016/j.scriptamat.2012.08.013,Scripta Materialia,2013,We study the structure and chemical composition of the j-carbide formed as a result of isothermal transformation in an Fe–3.0Mn–5.5Al–0.3C alloy using transmission electron microscopy and atom probe tomography.,Lightweight steels; Ordered carbide; Decomposition; Atom probe tomography,Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,0.3 nJ,100 kHz,100 kHz,40 K
Quantitative measurement of carbon content in Fe–C binary alloys by atom probe tomography,"Miyamoto, Goro; Shinbo, Kunio; Furuhara, Tadashi",Miyamoto,10.1016/j.scriptamat.2012.09.007,Scripta Materialia,2012,Quantitative characterization of the inhomogeneous distribution of carbon atoms is crucial in designing advanced high-strength steels.,"Atom probe tomography, Quantitative analysis, Carbon, Steel, Loss in detection",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Voltage,20%,1%,"200,000 Hz",20 K
Direct atom probe tomography observations of concentration fluctuations in Fe–Cr solid solution,"Zhou, Jing; Odqvist, Joakim; Ågren, John; Ruban, Andrei; Thuvander, Mattias; Xiong, Wei; Olson, Gregory B.; Hedström, Peter",Zhou,10.1016/j.scriptamat.2014.10.035,Scripta Materialia,2015,"The local concentration of atoms in an Fe–46.5 at.% Cr alloy, solution treated at four different temperatures above the miscibility gap, has been investigated using atom probe tomography.",Clustering; Spinodal decomposition; Stainless steels; Atom probe tomography; Fe–Cr,Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Voltage,20%,37%,200 kHz,50 K
Microstructural analysis of impurity segregation around b-Nb precipitates in Zr–Nb alloy using positron annihilation spectroscopy and atom probe tomography,"Toyama, T.; Matsukawa, Y.; Saito, K.; Satoh, Y.; Abe, H.; Shinohara, Y.; Nagai, Y.",Toyama,10.1016/j.scriptamat.2015.07.005,Scripta Materialia,2015,"Impurity segregation at the interface between b-Nb precipitates and a-Zr matrix in Zr-2.5 wt.%Nb alloy was investigated by complementary analysis with positron annihilation spectroscopy (PAS) and atom probe tomography (APT). Fe segregation and Fe-decorated defects were found at the interface. PAS also suggested that Fe was segregated to a concentration of several tens of percent at a local region at the interface, which is approximately one order of magnitude higher than APT and difficult to observe directly even using APT.","Impurity segregation, Precipitate interface, Positron annihilation spectroscopy, Atom probe tomography, Zirconium alloy",Journal Article,Materials Science and Application Studies,Precipitation,Metals and Alloys,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Laser,1.0 nJ,0.4,200 kHz,70 K
Atomic worlds: Current state and future of atom probe tomography in geoscience,"Saxey, D.W.; Moser, D.E.; Piazolo, S.; Reddy, S.M.; Valley, J.W.",Saxey,10.1016/j.scriptamat.2017.11.014,Scripta Materialia,2018,"Atom Probe Tomography (APT) is rapidly finding new applications within the geosciences. Historically connected with materials science and semiconductor device applications, recent years have seen APT established as a useful tool for nanoscale geochemistry, offering unique capabilities when compared with conventional geoanalytical techniques.","Atom probe tomography, Three-dimensional atom probe (3DAP), Atom probe microscopy, Geochemistry, Isotope geochemistry, Geochronology",Journal Article,Materials Science and Application Studies,Other,Geological Materials,,,,,,Laser,50 pJ,0.5%,200 kHz,50 K
Elemental re-distribution inside shear bands revealed by correlative atom-probe tomography and electron microscopy in a deformed metallic glass,"Balachandran, Shanoob; Orava, Jiri; Köhler, Mathias; Breen, Andrew J.; Kaban, Ivan; Raabe, Dierk; Herbig, Michael",Balachandran,10.1016/j.scriptamat.2019.04.014,Scripta Materialia,2019,A density variation in shear bands visible by electron microscopy is correlated with compositionally altered locations measured by atom-probe tomography in plastically-deformed Al85.6Y7.5Fe5.8 metallic-glass ribbons.,"Metallic glasses, Shear bands, Atom-probe tomography, Transmission electron microscopy",Journal Article,Materials Science and Application Studies,Other,Metals and Alloys,,,,,,Voltage,20%,N/A,200 kHz,50 K
Nanoscale microstructure and chemistry of transparent gahnite glass-ceramics revealed by atom probe tomography,"Mitchell, Alexandra L.; Perea, Daniel E.; Wirth, Mark G.; Ryan, Joseph V.; Youngman, Randall E.; Rezikyan, Aram; Fahey, Albert J.; Schreiber, Daniel K.",Mitchell,10.1016/j.scriptamat.2021.114110,Scripta Materialia,2021,"The nanoscale microstructure and chemistry of a transparent gahnite glass-ceramic and its precursor glass were investigated using atom probe tomography, transmission electron microscopy, and nuclear magnetic resonance spectroscopy.","Nanocrystalline materials, Atom probe tomography, Nucleation, Microstructure, Glass",Journal Article,Materials Science and Application Studies,Other,Ceramics and Glasses,,,,,,Voltage,50 pJ,0.5%,200 kHz,50 K
Measuring oxygen solubility in Ni grains and boundaries after oxidation using atom probe tomography,"Poplawsky, Jonathan D.; Pillai, Rishi; Ren, Qing-Qiang; Breen, Andrew J.; Gault, Baptiste; Brady, Michael P.",Poplawsky,10.1016/j.scriptamat.2021.114411,Scripta Materialia,2022,"Poor oxidation resistance is a key contributor to material failure within extreme environments. Understanding oxygen solubility is important for computation aided design of new high strength, high-temperature oxidation resistant alloys.","Atom Probe Tomography, Nickel, Oxidation, Grain Boundaries, Oxygen Solubility",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Metals and Alloys,,CAMECA,LEAP 4000X HR,Reflectron Fitted,355 nm,Laser,60-70 pJ,0.2%,200 kHz,30 K
Nanoscale chemistry and ion segregation in zirconia-based ceramic at grain boundaries by atom probe tomography,"Licata, Olivia G.; Zhu, Menglin; Hwang, Jinwoo; Mazumder, Baishakhi",Licata,10.1016/j.scriptamat.2022.114603,Scripta Materialia,2022,In this work nanoscale features that are of importance in the stability of yttria-stabilized tetragonal zirconia (Y-TZP) are quantified through atom probe tomography.,"Atom probe tomography, Zirconia, Grain boundaries, Ion segregation",Journal Article,Materials Science and Application Studies,Grain Boundaries and Interfaces,Ceramics and Glasses,,CAMECA,LEAP 3000X HR,Reflectron Fitted,532 nm,Voltage,20%,0.5%,200 kHz,50 K
